1.??? 鞋带,1.
2.??? 鞋底 ,2.
3.??? 唯一的（s-）adj. ,3.
4.??? 将A和B分隔开来（2种）,4.
5.??? 转身进入商店 ,5.
6.??? 闯入便利店,6.
7.??? 调查案件（into）,7.
8.??? 立即的（in-）adj. ,8.
9.??? 脱下（2种）鞋子,9.
10. 将鞋子递给修理工 ,10.
11. 仔细检查（e-）v. ,11.
12. 没法修了 ,12.
13. 出乎意料,13.
14. 用微笑迎接他 ,14.
"15. 不时,时而,偶尔",15.
16. 强大的（不许用powerful）海军,16.
17. 节俭的 adj. ,17.
18. 没存货,18.
19. 她那脸上痛苦的神情,19.
20. 库存的鞋子没有你要的尺码。。（available）,20.
21. 推荐某人做某事 ,21.
22. 亟需帮助（4种）,22.
23. 店主,23.
24. 只要,24.
25. 给他一个困惑的表情,25.
26. 这件衬衫我穿不下。,26.
27. 拿起一双军队战靴 ,27.
28. 与恐怖主义作斗争,28.
29. 盯着某人看,29.
30. 偶遇（5种）,30.
31. 舞会 n.,31.
32. 化妆舞会 ,32.
33. 口香糖,33.
34. 有…在某人名下,34.
35. 我宽脚的问题,35.
36. 在屏幕上,36.
37. 不辜负父母的期望,37.
