1.??? 除此之外（= besides what has been mentioned）（2种） ,？
2.??? 除此之外（= except for what has been mentioned）（2种）,？
3.??? 范围从…到… ,？
4.??? 广告业对消费者的影响,？
5.??? 通过很多方式（m-）抵达消费者,？
6.??? 因为 because of = ______   ______   ______ ,？
7.??? 广播,？
8.??? 广告牌 n.,？
9.??? 海报n.,？
10. 在媒体上（2种）,？
11. 发行量 n.,？
12. 人们广泛认可，旅游业的过度发展对环境是一种巨大威胁。,？
13. 在很大程度上,？
14. 包括至少三样东西,？
15. 由…组成（com-）,？
16. 参加活动（i-）,？
17. 科学家已经发现了致癌的基因，人们对此十分惊奇。（identify ，marvel）,？
18. 正在讨论中的产品（question）,？
19. 满足（5种）某人的需求 ,？
20. 将目标消费者考虑在内 ,？
21. 使…优先 vt.,？
22. 对生病感到害怕 ,？
23. 提出（2种）提出问题、建议和质疑,？
24. 图像 n. ,？
25. 口号 n,？
26. 利用（use）一些政策来驱动消费品产业的发展，以达到预期目标,？
27. 不辜负,？
28. 雇佣名人来代言产品,？
29. 引用科学数据来作为一种给广告产品增加真实价值的途径,？
30. [句型]某人被援引说…,？
31. 夸张 v.,？
32. 宣传产品 ,？
33. 长远来看（2种）,？
34. 例如,？
35. 与…有关（r-）,？
36. 麦当劳 ,？
37. 在海滩野餐时,？
38. 迎合巴西人吃冷东西的习俗,？
39. 有高度的文化意识,？
40. 冷漠的 adj.,？
41. 平易近人的 adj.  ,？
42. 执行（2种）一个国际项目,？
43. 研究潜在（2种）顾客的文化背景,？
44. 毁了广告项目,？
45. [谚语]入乡随俗。,？
